Herbicide scenario	year	mean.10	min.10	max.10	mean.10_20	min.10_20	max.10_20	mean.20_30	min.20_30	max.20_30	mean.30_40	min.30_40	max.30_40	mean.40_50	min.40_50	max.40_50	mean.50	min.50	max.50
2	26	30	0	3	0	0	6	0	0	6	0	0	5	0	0	1	0	0	9
0	27	30	0	1	0	0	5	0	0	7	0	0	6	0	0	8	0	0	3
1	27	30	0	2	0	0	5	0	0	5	0	0	5	0	0	9	0	0	4
2	27	30	0	6	0	0	3	0	0	6	0	0	4	0	0	2	0	0	9
0	28	30	0	7	0	0	7	0	0	4	0	0	5	0	0	4	0	0	3
1	28	30	0	7	0	0	7	0	0	4	0	0	5	0	0	2	0	0	5
2	28	30	0	4	0	0	9	0	0	2	0	0	6	0	0	3	0	0	6
0	29	30	0	13	0	0	3	0	0	3	0	0	4	0	0	4	0	0	3
1	29	30	0	13	0	0	3	0	0	2	0	0	2	0	0	3	0	0	7
2	29	30	0	2	0	0	8	0	0	5	0	0	5	0	0	3	0	0	7
0	30	30	0	10	0	0	5	0	0	4	0	0	4	0	0	3	0	0	4
1	30	30	0	12	0	0	5	0	0	1	0	0	4	0	0	2	0	0	6
2	30	30	0	7	0	0	3	0	0	6	0	0	4	0	0	2	0	0	8
0	31	30	0	3	0	0	4	0	0	6	0	0	6	0	0	4	0	0	7
1	31	30	0	3	0	0	10	0	0	3	0	0	6	0	0	2	0	0	6
2	31	30	0	7	0	0	10	0	0	4	0	0	1	0	0	4	0	0	4
0	32	30	0	0	0	0	8	0	0	5	0	0	6	0	0	6	0	0	5
1	32	30	0	3	0	0	6	0	0	4	0	0	6	0	0	7	0	0	4
2	32	30	0	6	0	0	7	0	0	3	0	0	6	0	0	3	0	0	5
0	33	30	0	10	0	0	7	0	0	3	0	0	2	0	0	2	0	0	6
1	33	30	0	10	0	0	9	0	0	2	0	0	2	0	0	2	0	0	5
2	33	30	0	14	0	0	2	0	0	3	0	0	3	0	0	1	0	0	7
0	34	30	0	4	0	0	6	0	0	5	0	0	5	0	0	5	0	0	5
1	34	30	0	8	0	0	5	0	0	3	0	0	6	0	0	2	0	0	6
2	34	30	0	12	0	0	10	0	0	2	0	0	2	0	0	1	0	0	3
0	35	30	0	5	0	0	6	0	0	5	0	0	5	0	0	6	0	0	3
1	35	30	0	7	0	0	7	0	0	4	0	0	5	0	0	1	0	0	6
2	35	30	0	7	0	0	4	0	0	1	0	0	7	0	0	1	0	0	10
0	36	30	0	12	0	0	8	0	0	1	0	0	3	0	0	2	0	0	4
1	36	27	5	0	1	1	8	1	1	7	0	0	4	1	0	4	0	0	7
2	36	21	2	0	2	2	4	2	1	1	1	1	5	1	1	6	3	3	14
0	37	30	0	4	0	0	9	0	0	3	0	0	5	0	0	5	0	0	4
1	37	27	3	3	1	1	9	1	0	5	1	0	4	0	0	3	0	0	6
2	37	19	4	1	4	1	3	1	2	4	1	0	6	1	1	3	4	3	13
0	38	30	0	9	0	0	9	0	0	2	0	0	2	0	0	5	0	0	3
1	38	28	2	3	1	0	7	0	1	5	1	0	6	0	0	3	0	0	6
2	38	20	3	6	4	1	2	1	2	5	1	0	4	0	1	2	4	3	11
0	39	30	0	8	0	0	8	0	0	3	0	0	3	0	0	3	0	0	5
1	39	27	2	1	2	1	8	0	1	2	1	0	7	0	0	2	0	0	10
2	39	21	3	3	3	1	8	1	2	2	1	1	3	1	0	6	3	3	8
