scenario	year	period	mean.effects.Inds	mean.effects.abovemass	mean.effects.NPFT	mean.effects.eveness	mean.effects.shannon	mean.effects.simpson	mean.effects.simpsoninv	min.effects.Inds	min.effects.abovemass	min.effects.NPFT	min.effects.eveness	min.effects.shannon	min.effects.simpson	min.effects.simpsoninv	max.effects.Inds	max.effects.abovemass	max.effects.NPFT	max.effects.eveness	max.effects.shannon	max.effects.simpson	max.effects.simpsoninv
0	1	before	1	1	1	1	1	1	1	1.03076159761846	1.01903623174092	1	1.00174326927347	1.00279703909913	1.00028742944078	1.02442644631645	0.963296674175169	0.977588563450776	1	0.996857493590275	0.994942443805692	0.999448481994227	0.954428706700996
1	1	before	1.0031436446199	1.00266606651749	1	0.999962678130073	0.999939870310652	1.00000103898431	1.00018420461752	1.03501240597062	1.02274958734464	1	1.00183514492623	1.00295105252725	1.0002844331382	1.02453198354569	0.957600104798917	0.975362308564032	1	0.996704876843127	0.994695764445197	0.999425314260576	0.953894949187272
2	1	before	1.00241672716535	1.00132759069021	1	0.999905210522428	0.999848392492296	0.999998164354355	0.999757879937976	1.04306099254956	1.02536594705135	1	1.0018371050713	1.00294857390867	1.00029744541219	1.02648871886058	0.954981864732238	0.962537339723355	1	0.996483646568168	0.994358084442327	0.999488928368655	0.958628722008529
0	2	before	1	1	1	1	1	1	1	1.10918168005209	1.07948326223935	1.00062932662052	1.00750052799328	1.01935737251462	1.00225134757766	1.1172171834054	0.842645726366657	0.863057000654737	1	0.987120515683222	0.965945633992929	0.995389727547396	0.803325139023682
1	2	before	1.01661477901562	1.00075059063196	1.00008448282756	0.999265308971573	0.998930768783244	0.999792363009551	0.988920903560549	1.19248570650694	1.10119054279491	1.00062932662052	1.00623840670521	1.01732761567198	1.00190422575572	1.0941871274779	0.83205574912892	0.73262355732247	1	0.987583894507914	0.968467357728569	0.995472130725707	0.812485882262259
2	2	before	1.00593505122146	0.996266775945757	1.00016859272082	0.999908380167258	1.00106896386134	1.00004414365246	1.00306768826467	1.12964366944655	1.07749894957126	1.00062932662052	1.00720046486346	1.01916200011522	1.00213659572949	1.11027372861287	0.845337376800607	0.780522211360136	1	0.985380198988688	0.968440837735109	0.995624528243826	0.809195317045783
0	3	before	1	1	1	1	1	1	1	1.12441945734539	1.0887019318043	1.00378787878788	1.01058553815883	1.02322162487775	1.00308483468043	1.13634719371996	0.815912319870104	0.690842808395961	0.984848484848485	0.97639809856339	0.941346121406282	0.991111766120292	0.73626506522705
1	3	before	1.02543130863591	1.03461823704179	1.00059392947975	1.00106398596863	1.00312921389644	1.00054968681751	1.01953631713027	1.14886335859203	1.10818494170485	1.00378787878788	1.01381504040158	1.02420503739193	1.00345686663434	1.15647179965071	0.879699248120301	0.935519822440041	1	0.98304857269087	0.969263226747458	0.995648833499878	0.846054774925095
2	3	before	1.01778914076527	1.01166472405422	0.999979035639413	1.00291234877529	1.00458384268947	1.00084376931954	1.03549771627757	1.15446862075166	1.08753082259656	1.00378787878788	1.0138558943104	1.03123237669274	1.00426545964983	1.19490474591614	0.826547685443391	0.843091360156616	0.984848484848485	0.98418519135104	0.964863675854854	0.994644397362201	0.820148733176144
0	4	before	1	1	1	1	1	1	1	1.13257371998631	1.07039908974251	1.00632911392405	1.01518939463433	1.02723796755779	1.00450294745509	1.12595515623849	0.803011292346299	0.826871050281407	0.986717267552182	0.972856682267569	0.925167155119921	0.986899745608664	0.733283338619744
1	4	before	0.987264811560454	0.987710110114355	1.00038635926303	1.00275682644013	1.00417018931549	1.00102483118494	1.03062027704578	1.10995850622407	1.06404366608317	1.00632911392405	1.01868008430612	1.03846912518579	1.00627083711059	1.19800344184721	0.768908881682184	0.775322646292253	0.986717267552182	0.979557391783708	0.961502543546173	0.994196255860559	0.860963127761307
2	4	before	1.00217169197479	1.00315522159485	1.00078807761239	1.00474667609107	1.01190533251484	1.00180799791256	1.05533551229623	1.13037312338012	1.07976231394983	1.00632911392405	1.01766022541105	1.0462497092362	1.00690283517437	1.22345202862405	0.80741487628946	0.846093692830199	0.987967067764408	0.965887498525435	0.927964083804511	0.986195875329631	0.72475929528799
0	5	before	1	1	1	1	1	1	1	1.1333075360356	1.07682649846102	1.00442198357549	1.01759423568909	1.04926203682884	1.00649908677967	1.14206287673899	0.689845474613687	0.804707434411925	0.984848484848485	0.96133358191618	0.904938899767335	0.98273623131449	0.729666127773357
1	5	before	1.01015303702166	1.00405187497316	1.00029856207384	0.999350795323954	0.999355673047644	0.999727798905102	0.996084043812477	1.13387760671321	1.08169244894549	1.00442198357549	1.01782814741873	1.03302071326004	1.00639605893952	1.14355317905207	0.786983230948033	0.742806846796787	0.987341772151899	0.951818262529503	0.900281626072152	0.978417831118017	0.673480901042546
2	5	before	0.998114250595433	1.00171501709334	1.00036780795848	1.00101095665265	1.00945077678335	1.001185938594	1.02578435435431	1.11017004365105	1.08114622355205	1.00442198357549	1.01963692938963	1.0503607099095	1.00755115267566	1.17458998603419	0.801781737193764	0.861233867538901	0.98547062539482	0.962682324940969	0.92991242174752	0.986148505151899	0.762603117600363
0	6	before	1	1	1	1	1	1	1	1.12378303198887	1.08682156254036	1.00378787878788	1.01977065070646	1.05071656703788	1.00758989995623	1.15412002178121	0.825889588519549	0.771191396840504	0.984848484848485	0.953132888686008	0.923175593674697	0.98202826106308	0.744700551378781
