Time	scenario	period	year	week	mean.effects.Inds	mean.effects.abovemass	mean.effects.NPFT	mean.effects.eveness	mean.effects.shannon	mean.effects.simpson	mean.effects.simpsoninv	min.effects.Inds	min.effects.abovemass	min.effects.NPFT	min.effects.eveness	min.effects.shannon	min.effects.simpson	min.effects.simpsoninv	max.effects.Inds	max.effects.abovemass	max.effects.NPFT	max.effects.eveness	max.effects.shannon	max.effects.simpson	max.effects.simpsoninv
6	0	before	1	6	1	1	1	1	1	1	1	1.0497561856601	1.01903623174092	1	1.00062616834542	1.00100085379387	1.00008947915578	1.00874747444199	0.957648546144121	0.978955609080404	1	0.999167321526225	0.998669064931748	0.999884558813833	0.988859187035077
6	1	before	1	6	0.997787610619468	0.998034278673791	1	1.00014219317955	1.00022727846952	1.00001803679428	1.00177212072958	1.0307928481127	1.01369832149806	1	1.00078811347602	1.00125970335014	1.00011796987002	1.01157741369513	0.949521401480946	0.973157055238961	1	0.99899794320334	0.99839833432344	0.999854888676076	0.986045675645572
6	2	before	1	6	0.991692252122087	0.992698220264491	1	0.999899179485418	0.999838850693657	0.999983472663599	0.998404961626658	1.01995665522846	1.00546923610631	1	1.00059984906502	1.00095878563148	1.00009355874721	1.0091517031891	0.930558063933538	0.958990528488608	1	0.998710167976728	0.99793836069264	0.9998321958176	0.983904793265218
7	0	before	1	7	1	1	1	1	1	1	1	1.02102905285681	1.01729446107366	1	1.00030681975324	1.00049009636741	1.00004546808955	1.00450789648115	0.962856474206814	0.98447834592203	1	0.999482670013799	0.999173646597677	0.999925408359859	0.992664595957871
7	1	before	1	7	0.995319447694828	0.999255105462206	1	1.00004567530325	1.00007295912328	1.00000709855461	1.00070405124296	1.01701715088095	1.01227949251356	1	1.0003697698512	1.0005906492621	1.00005475004743	1.00543552859405	0.957841596736986	0.980405067553358	1	0.999342204608591	0.998949275174026	0.999902461566519	0.990433343714654
7	2	before	1	7	0.995620340343018	0.995983938250553	1	0.999853435210288	0.999765885767558	0.999978277184142	0.997860857282976	1.02102905285681	1.00801549208081	1	1.00032750638877	1.00052314001868	1.00005133420582	1.00509394881138	0.948814817291298	0.953135218140348	1	0.999245268172122	0.998794434441375	0.999892887058214	0.989505379250063
8	0	before	1	8	1	1	1	1	1	1	1	1.01016641844201	1.01439608105391	1	1.00046906759901	1.00074933802422	1.00006490488979	1.00642781021178	0.975199119342097	0.979768770912604	1	0.999325513357856	0.998922503944295	0.999903807066269	0.990578019484266
8	1	before	1	8	1.00178074208379	0.99960921325285	1	1.00003653649214	1.00005836724363	1.00000550669756	1.0005373751475	1.01890824321699	1.01497799287279	1	1.00036943431742	1.00059017331848	1.00005509617169	1.00544799396433	0.975199119342097	0.979144176075229	1	0.999452029368251	0.999124613954585	0.999916904651543	0.991847606835721
8	2	before	1	8	0.998510652075375	0.997678565474968	1	0.999837403959586	0.999740251946781	0.999975837825894	0.997612899062108	1.01987955708088	1.01210969402963	1	1.00013747154234	1.00021961153178	1.00001963190906	1.00192155622265	0.960629411383799	0.95158232826286	1	0.999283637218185	0.998855606584875	0.999883196619911	0.988586886714606
9	0	before	1	9	1	1	1	1	1	1	1	1.01468301951978	1.01241521788731	1	1.00051250209585	1.00081906749258	1.00007047560619	1.00690662393379	0.962860597685265	0.981987333575853	1	0.999330174554139	0.99892950242964	0.999902637778033	0.990557160180004
9	1	before	1	9	1.00055277249957	0.999452184148939	1	1.00001960606058	1.00003133389503	1.00000316562737	1.00031112297592	1.01986526170323	1.01684459345164	1	1.00057017948468	1.00091124599221	1.00008441153167	1.00828894271539	0.976334427362239	0.979538614576859	1	0.999224838835754	0.998761157629814	0.999896859373965	0.990003908306834
9	2	before	1	9	0.999274486094318	0.998380104362193	1	0.999790561118661	0.999665280238311	0.999968599841376	0.996946082113501	1.02608395232337	1.01197521369218	1	1.00027682457939	1.00044241382809	1.00004385853404	1.0042771609679	0.961824149248575	0.959443814291362	1	0.998866678071782	0.998188754431341	0.999862510095965	0.986728113191374
10	0	before	1	10	1	1	1	1	1	1	1	1.01771206909171	1.01402194682535	1	1.00074743034523	1.00119512447939	1.00010494834912	1.0101766365965	0.956232159847764	0.981363164869198	1	0.998918433256679	0.998270598860084	0.99985041298496	0.985723526668374
10	1	before	1	10	1.00168337846739	1.00083411833021	1	1.00002129087863	1.00003404364086	1.00000287613937	1.00026945739687	1.0253970577472	1.01518092978703	1	1.00081799339559	1.00130795322573	1.00011824648803	1.01148825743358	0.979287125814243	0.979185753919608	1	0.999004024869986	0.99840745794394	0.9998575234454	0.986390220729664
10	2	before	1	10	1.00029276147259	1.00051663879059	1	0.999733515076537	0.999573896541058	0.999961265443615	0.996282839978933	1.02320134670277	1.0173106949828	1	1.00053141681763	1.00084972365863	1.00007738616921	1.00746914282528	0.963917148503257	0.960447870085911	1	0.997941691188959	0.99670881004238	0.999746741316113	0.976106429038124
11	0	before	1	11	1	1	1	1	1	1	1	1.02563123113946	1.01804943623145	1	1.00094115377434	1.00150567183939	1.00011586000199	1.01107909871499	0.959165743534894	0.982624820836588	1	0.998254463971583	0.997207465438388	0.999757362992837	0.977330023683908
11	1	before	1	11	1.00427823828259	1.00166523931508	1	1.00006610999427	1.00010576375443	1.00000839593117	1.00077413787518	1.03136101455365	1.02016737262023	1	1.00070394605409	1.00112618339213	1.00009328739833	1.00888406587786	0.975209137094618	0.976412964511336	1	0.998941040292698	0.998305860472742	0.999863989533484	0.987125297643902
