Application rate	PFT	year	mean.10	min.10	max.10	mean.10_20	min.10_20	max.10_20	mean.20_30	min.20_30	max.20_30	mean.30_40	min.30_40	max.30_40	mean.40_50	min.40_50	max.40_50	mean.50	min.50	max.50
0	LSCTcl3p	22	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	LSCTcl3p	22	7	30	0	6	0	0	11	0	0	6	0	0	0	0	0	0	0	30
260	LSCTcl3p	22	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	LSCTcl3p	23	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	LSCTcl3p	23	16	30	0	7	0	0	4	0	0	3	0	0	0	0	0	0	0	30
260	LSCTcl3p	23	29	30	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	LSCTcl3p	24	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	LSCTcl3p	24	25	30	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	30
260	LSCTcl3p	24	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	LSCTcl3p	25	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	LSCTcl3p	25	19	30	0	9	0	0	2	0	0	0	0	0	0	0	0	0	0	30
260	LSCTcl3p	25	29	30	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl3p	1	30	30	0	0	0	3	0	0	27	0	0	0	0	0	0	0	0	0
90	MECIcl3p	1	27	30	0	3	0	0	0	0	3	0	0	25	0	0	2	0	0	0
260	MECIcl3p	1	0	30	0	30	0	0	0	0	0	0	0	1	0	0	26	0	0	3
0	MECIcl3p	2	30	30	0	0	0	0	0	0	1	0	0	5	0	0	8	0	0	16
90	MECIcl3p	2	13	30	0	15	0	0	2	0	0	0	0	4	0	0	4	0	0	22
260	MECIcl3p	2	0	30	0	5	0	0	25	0	0	0	0	0	0	0	4	0	0	26
0	MECIcl3p	3	30	30	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	28
90	MECIcl3p	3	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
260	MECIcl3p	3	3	30	0	13	0	0	14	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl3p	4	30	30	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	27
90	MECIcl3p	4	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
260	MECIcl3p	4	24	30	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl3p	5	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl3p	5	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
260	MECIcl3p	5	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl3p	6	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl3p	6	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
260	MECIcl3p	6	19	30	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl3p	7	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl3p	7	27	30	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	30
260	MECIcl3p	7	0	30	0	18	0	0	12	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl3p	8	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl3p	8	24	30	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	30
260	MECIcl3p	8	0	30	0	13	0	0	17	0	0	0	0	0	0	0	0	0	0	30
