scenario	year	period	mean.effects.Inds	mean.effects.abovemass	mean.effects.NPFT	mean.effects.eveness	mean.effects.shannon	mean.effects.simpson	mean.effects.simpsoninv	min.effects.Inds	min.effects.abovemass	min.effects.NPFT	min.effects.eveness	min.effects.shannon	min.effects.simpson	min.effects.simpsoninv	max.effects.Inds	max.effects.abovemass	max.effects.NPFT	max.effects.eveness	max.effects.shannon	max.effects.simpson	max.effects.simpsoninv
0	1	before	1	1	1	1	1	1	1	1.02668360864041	1.01656059300448	1	1.00188766565084	1.00302918999546	1.00030765583291	1.02761111343816	0.96086519463413	0.97316972670355	1	0.996534246753284	0.994435934569842	0.999491485509152	0.957237159181145
1	1	before	0.993831571768253	0.998168243841512	1	0.999479742150132	0.999164569024252	0.999913370044185	0.992561361331122	1.02887207300835	1.01592194747891	1	1.00105285916254	1.00168707460968	1.00016886090276	1.01453800825055	0.953907468376365	0.973881100653937	1	0.99571572926052	0.993119856327971	0.99926791931177	0.941642012990992
2	1	before	1.00041111161293	1.00147649982656	1	0.999785902386669	0.999655988207129	0.999968632223648	0.997368370730166	1.03701825557809	1.01989393669161	1	1.00166843005847	1.00267737649354	1.00026609869544	1.02330055891333	0.959868360910504	0.979059646210645	1	0.995721514509853	0.993115706097665	0.999336675328765	0.947266797809584
0	2	before	1	1	1	1	1	1	1	1.11590656284761	1.07336980789041	1.00062932662052	1.00800580345389	1.01843043176693	1.00222222960934	1.12323907331027	0.852084101807451	0.777712918909321	1	0.986481777899102	0.969016971767136	0.995949877099478	0.812769319319818
1	2	before	0.986950369165188	0.996719730384041	0.999621235490588	0.99828352026929	0.995580546683183	0.999574918322011	0.972109666233182	1.09643734643735	1.07663577068952	1.00062932662052	1.00708363510225	1.01001024946956	1.00167502786682	1.07784986818545	0.804922332055679	0.780680980784682	0.987341772151899	0.986705707249012	0.97170047581395	0.996006189520168	0.817594962305405
2	2	before	1.01898900670643	1.00569516604797	1.00006281316966	1.00005735749663	1.00152751110869	1.00014444709367	1.00614475514639	1.1493884869053	1.08587696088244	1.00062932662052	1.00806973854432	1.02025110988419	1.00251974686572	1.12954455442983	0.868017524644031	0.70196696687666	1	0.988306733123944	0.971158308454972	0.996351592278541	0.830114018038674
0	3	before	1	1	1	1	1	1	1	1.12879238548483	1.07925803898476	1.00252206809584	1.0099010793353	1.02375113091269	1.00256270468199	1.11824084968412	0.827007590890931	0.739206787295035	0.989010989010989	0.984528387294684	0.972148517764074	0.995168712441621	0.811347428687576
1	3	before	0.979860794675111	0.998448092986575	0.99989270187411	1.00028448675402	0.998610533593311	0.999855653477342	0.99871597891113	1.08848574601999	1.07645889635513	1.00252206809584	1.01131420041078	1.02110339820049	1.00272115521589	1.13363475018373	0.788954635108481	0.80550222183421	0.989010989010989	0.982069375515077	0.97090777762703	0.99491615295561	0.84466144351563
2	3	before	1.00655112232891	1.00728735318297	0.999805970446367	0.999609447698696	1.00003137841181	0.999843777983763	0.998180838883102	1.14817133148529	1.10027691881721	1.00252206809584	1.01059832290397	1.02241886803364	1.00261794367722	1.12521198861778	0.83261668360566	0.737334917763868	0.983606557377049	0.969804756540688	0.948112635550028	0.991142944665287	0.708366473353452
0	4	before	1	1	1	1	1	1	1	1.16070388066659	1.0714864982177	1.00189035916824	1.01599585705005	1.03038025510051	1.00448223761791	1.13314762501251	0.824568784181742	0.845756893220537	0.984848484848485	0.964841172673834	0.945255146431972	0.986596354253793	0.718578095440155
1	4	before	0.998251141029992	0.991225184979096	0.99980961099115	0.997927857831949	0.997310073755913	0.999408936801676	0.988109320698398	1.11675126903553	1.06984092241574	1.00189035916824	1.01608109159229	1.03205228106375	1.00511271603919	1.13903634936261	0.81150051037768	0.79297312631237	0.984251968503937	0.957216828595056	0.927214574527833	0.985537921181701	0.695169142716701
2	4	before	0.992875741664613	0.999381248996004	0.999526060398334	1.00130050961636	0.998741204165897	0.999804785487206	0.999284847015439	1.14142966948501	1.08291614791232	1.00189035916824	1.02082876113769	1.03832913532428	1.00600595233882	1.19617083389382	0.780024762690879	0.802954747504517	0.982986767485822	0.964976016424707	0.919203976555764	0.985564092554696	0.702420650554279
0	5	before	1	1	1	1	1	1	1	1.1223032034674	1.09004667342653	1.00569259962049	1.01833520055378	1.03388385676471	1.00545875527476	1.123662226728	0.809012685176972	0.772408438533818	0.986717267552182	0.958694286377797	0.910215690745367	0.982002370026814	0.721910431703893
1	5	before	1.0228273890308	1.01302423902934	1.00011448340935	0.999807610365484	0.996945217478655	0.99954347492441	0.990178551995845	1.16364802051611	1.08670309822401	1.00569259962049	1.01845589832316	1.03065966100538	1.00548705168476	1.12611100116898	0.844574780058651	0.891014896973893	0.987967067764408	0.961009466326223	0.909423493064505	0.983552966614781	0.724090001653516
2	5	before	1.01072016174207	0.998799012588559	1.00032356425973	1.00276621621025	1.00441992333188	1.00083824348129	1.01810176239079	1.12569857180875	1.08225371596052	1.00569259962049	1.02336265329059	1.05052395178536	1.00777474891646	1.18352542935997	0.855828220858896	0.654917234580331	0.988593155893536	0.975975062726454	0.943100427904014	0.989363573286988	0.803757017848754
0	6	before	1	1	1	0.999999999999998	1	1	1	1.1130507282249	1.08537257631724	1.00252206809584	1.01564262469465	1.03174976067399	1.00537744933219	1.10427387657986	0.838828020425363	0.717478023531741	1	0.972051908654083	0.932875516384034	0.987889296859444	0.801476685579585
1	6	before	1.02483580616675	1.00620470712276	0.999433037376599	1.00015208805131	0.999317882105064	1.00023911002913	1.00485904657648	1.16302691721686	1.08913556229867	1.00125944584383	1.02144871393166	1.0377558365135	1.00684270723606	1.14283370510474	0.864338201097572	0.785422241382705	0.982367758186398	0.961294465452504	0.945406110293525	0.989016468664166	0.818823080849984
