Application rate	PFT	year	mean.10	min.10	max.10	mean.10_20	min.10_20	max.10_20	mean.20_30	min.20_30	max.20_30	mean.30_40	min.30_40	max.30_40	mean.40_50	min.40_50	max.40_50	mean.50	min.50	max.50
0	MECIcl3p	1	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	MECIcl3p	1	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
260	MECIcl3p	1	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	MECIcl3p	2	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	MECIcl3p	2	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
260	MECIcl3p	2	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	MECIcl3p	3	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	MECIcl3p	3	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
260	MECIcl3p	3	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	MECIcl3p	4	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	MECIcl3p	4	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
260	MECIcl3p	4	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	MECIcl3p	5	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	MECIcl3p	5	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
260	MECIcl3p	5	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	MECIcl3p	6	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	MECIcl3p	6	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
260	MECIcl3p	6	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	MECIcl3p	7	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	MECIcl3p	7	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
260	MECIcl3p	7	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	MECIcl3p	8	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	MECIcl3p	8	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
260	MECIcl3p	8	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
